Date Time,Epoch date,PM2.5_mega_ppb,PM10_mega_ppb, PM10_ppm, PM2.5_ppm,PM10_ppb,PM2.5_ppb
09-07-2021 11:36,1625810809,3.77,3.77,0.009,0.005,9,5
09-07-2021 11:52,1625811739,3.81,4.34,0.007,0.004,7,4
09-07-2021 11:54,1625811866,3.78,3.92,0.007,0.005,7,5
09-07-2021 12:01,1625812295,3.88,3.88,0.01,0.005,10,5
09-07-2021 12:11,1625812891,3.45,3.45,0.007,0.005,7,5
09-07-2021 12:18,1625813317,3.49,3.49,0.011,0.004,11,4
09-07-2021 12:28,1625813904,4.38,4.38,0.007,0.005,7,5
09-07-2021 12:44,1625814855,4.65,4.65,0.007,0.004,7,4
09-07-2021 13:02,1625815974,5.06,5.06,0.008,0.005,8,5
09-07-2021 13:07,1625816241,4.24,4.24,0.006,0.005,6,5
09-07-2021 13:08,1625816326,4.33,4.33,0.011,0.004,11,4
09-07-2021 13:11,1625816491,5.02,5.02,0.009,0.005,9,5
09-07-2021 13:35,1625817947,4.64,4.64,0.005,0.003,5,3
